record_id,route_id,origin_station,destination_station,district,encoded_transport,fare_hkd,distance_km,scheduled_duration_min,hour_of_day,day_of_week,is_holiday,weather_condition,country_code,internal_batch_id,survey_code,campaign_tag,device_theme,promo_bucket,random_zone_code,passenger_token,session_id,ticket_reference,device_id_hash,distance_m,fare_hkd_rounded,route_group,is_peak_hour,service_note,ops_comment_code,route_label_variant
R00022,RT066,Central Station,Admiralty,Wan Chai,bus-crossharbour_local_standard_KMB,2500.0,120.0,180.0,14,Tue,0,sunny,territory-hk,B7069,SYS,staff_shuttle,large_text,none,zone-3,PX74930088,S6646754541,TKT-740505,dev-d5643191,120000,9000,group-0,0,staff shuttle,OPS-SYS,ROUTE 066
R00023,RT050,Wan Chai, Sha.Tin ,Wan Chai,Tram-airport_Tram-airport_Local_standard_CTB,,,,14,Fri,0,,territory-hk,B3570,S3,none,contrast,none,zone-2,PX67610894,S6963902736,TKT-331248,dev-b23c4e6a,3540,26,group-0,0,minor queue,OPS-B,ROUTE 050
R00024,RT036,NorthPt,Mongkok,Eastern,[bus][local][standard][K.M.B.];backup=CTB,1.0 HKD,0.5,4-12 min,14,Wed,0,,HK,B3334,S2,none,contrast,A,zone-2,PX72923191,S9721803999,TKT-284995,dev-20422aaf,120000,9000,group-0,0,minor queue,OPS-A,ROUTE 036
R00025,RT021,Tsuen%20Wan,Central Station,Tsuen Wan,BUS_BUS_standard_local_kmb,,,,23,Tue,1,,HK,B2366,S2,commuter_plus,compact,A,zone-4,PX45444797,S9872015111,TKT-948678,dev-4284fd70,2540,6,group-0,0,weather watch,OPS-C,Route-021
R00026,RT044,Central Station,Kennedy Town,Sha Tin,bus_bus_Local_Standard_CityBus,,,,21,Tue,0,Cloudy,HK,B5311,S3,none,classic,A,zone-3,PX71736025,S8961823904,TKT-347408,dev-00257924,6360,11,group-0,0,minor queue,OPS-B,Route-044
R00027,RT061,TST,North%20Point  ,Yau Tsim Mong,tram-crossharb_Express_Standard_ctb,,,,13,Thu,0,,geo::hkg,B1465,S2,none,contrast,A,zone-4,PX95720759,S9902028860,TKT-817982,dev-7f1cb1c8,3710,13,group-0,0,platform crowding,OPS-C,Route-061
R00028,RT072,Kennedy Town,TSUEN WAN,Central and Western,bus_local_Standard_ctb,,,38m est,8,Thu,0,Sunny,HK,B2331,S4,none,contrast,A,zone-4,PX88154625,S4461494037,TKT-350398,dev-7892286b,8330,14,group-0,1,weather watch,OPS-B,Route-072
R00029,RT023,MongKok,Tsuen.Wan,Yau Tsim Mong,KMB_bus_standard_local,,,,8,fri,0,,HK,B9118,S3,none,compact,none,zone-2,PX38744039,S2739235899,TKT-548928,dev-5096cfd8,5560,12,group-0,1,platform crowding,OPS-C,Route-023
R00030,RT075,Kennedy Town,Sha Tin,Sha Tin,ferry_express_premium_HKKF,2.0-7.0,0.1 km,00:05:00,19,Sat,0,cloudy,HK,B8222,S1,commuter_plus,classic,none,zone-3,PX16310943,S3631491613,TKT-997005,dev-951cc423,75,9000,group-0,1,weather watch,OPS-C,Route-075
R00031,RT044,tsim%20sha%20tsui,Central Stn,Yau Tsim Mong,bus|local|premium|K.M.B.,,,,21,Mon,0,,HK,B9576,S3,commuter_plus,compact,none,zone-3,PX18425102,S1744294628,TKT-857851,dev-a420a829,3330,17,group-0,0,normal service,OPS-B,ROUTE 044
R00032,RT027,Causeway Bay  ,Mong Kok,Wan Chai,op=svc:tram-airport|local|standard|CityBus,,,,22,Sat,0,,852,B9444,S1,none,large_text,none,zone-5,PX61890260,S4836419589,TKT-613280,dev-381765a7,13280,34,group-0,0,minor queue,OPS-B,Route-027
R00033,RT049,Depot,Workshop,Audit,staff_shuttle,,,52m est,22,Sat,0,Test,INT,B6330,SYS,maintenance_ops,classic,A,zone-1,PX39406017,S1805467258,TKT-753077,dev-ff8f13e7,7500,12,group-0,0,test record,OPS-SYS,ROUTE 049
R00034,RT072,Tsuen Wan,Tsim Sha Tsui,Yau Tsim Mong,ferryexpressstandardHKKF,900.0,120.0-121.2,180 min,5,Fri,0,rain??,geo-hkg-v2,B3078,S2,commuter_plus,large_text,none,zone-3,PX92961338,S6739709808,TKT-466394,dev-18bbeadf,900000,2500,group-0,0,priority boarding,OPS-C,Route-072
R00035,RT059,Kennedy Town,Tsuen Wan,Central and Western,bus-night-local-standard-CityBus;backup=CTB,,,about 44,20,fri,0,Cloudy,HK,B3095,S3,none,classic,B,zone-3,PX93811512,S2778298830,TKT-983783,dev-687b3710,8730,11,group-0,0,minor queue,OPS-A,Route-059
R00036,RT070,Workshop,Audit Hub,Audit,maintenance_shift,~13.7,,,19,Sun,0,Audit,INT,B4780,SYS,maintenance_ops,large_text,C,zone-2,PX71530622,S9906865903,TKT-423124,dev-26999bb2,3690,14,group-0,1,test record,OPS-SYS,Route-070
R00037,RT041, Kennedy%20Town ,Tsim%20Sha%20Tsui,Central and Western,bus-AIRPORT_bus-AIRPORT_standard_express_kmb,,,,8,Sun,0,,852,B6256,S2,none,contrast,none,zone-5,PX95011284,S7658784351,TKT-450717,dev-9f4b8a34,10500,38,group-0,1,normal service,OPS-D,Route-041
R00038,RT077,Kennedy%20Town,Sha Tin,Central and Western,tram-night-local-standard-CityBus;backup=CTB,13.6-18.6,7.75km approx,50.0,10,Wed,0,,HK,B1232,S2,tourist_day,classic,B,zone-1,PX29337932,S4316692965,TKT-124994,dev-dd940e8d,7750,14,group-0,0,minor queue,OPS-B,ROUTE 077
R00039,RT079,CausewayBay,North%20Point,Wan Chai,tram-airport_standard_local_citybus,,,,23,Fri,0,,legacy,B6975,S3,tourist_day,classic,A,zone-5,PX31285153,S7872570211,TKT-399269,dev-f12511c5,8290,31,group-0,0,priority boarding,OPS-A,ROUTE 079
R00040,RT051, Sha Tin ,TSIM SHA TSUI,Sha Tin,svc:bus-XHBR_local_premium_K.M.B.,missing,unknown,1.0,13,Thu,0,,hk-zone,B1371,S1,commuter_plus,large_text,A,zone-4,PX62526057,S4771746830,TKT-908812,dev-376e02b6,350000,2500,group-0,0,priority boarding,OPS-B,ROUTE 051
R00041,RT018,Wan%20Chai,Mong Kok,Wan Chai,TRAM-Night_standard_local_CityBus;backup=KMB,,,,18,mon,1,,HK,B2248,S2,commuter_plus,compact,A,zone-1,PX94756032,S2514076043,TKT-758948,dev-b92be815,5230,10,group-0,1,normal service,OPS-B,ROUTE 018
R00042,RT021,Tsuen%2520Wan, North Pt ,Tsuen Wan,BUS_express_standard_ctb,,,,6,Tue,0,,HK,B8945,S2,summer_push,large_text,A,zone-4,PX98358217,S2535520992,TKT-751423,dev-86e5d80b,4660,14,group-0,0,normal service,OPS-B,Route-021
R00043,RT022,TWN  ,Admiralty,Tsuen Wan,Bus_local_Standard_Kowloon Motor Bus,,,,17,Thu,0,,HK,B3451,S4,tourist_day,compact,none,zone-3,PX52586717,S4479367267,TKT-669322,dev-371bf3a3,6970,12,group-0,1,weather watch,OPS-C,ROUTE 022
R00044,RT074,Admiraltyy,Kennedy Town,Central and Western,bus-XHBR__local-premium__KMB,,,,10,thu,0,,852,B3557,S2,tourist_day,classic,none,zone-1,PX34479188,S5600293926,TKT-878835,dev-75444673,12620,27,group-0,0,weather watch,OPS-D,Route-074
R00045,RT069,central%20station,MongKok,Central and Western,Bus_premium_local_Kowloon Motor Bus,,unknown,,19,Thu,0,,HK,B3943,S4,none,compact,none,zone-3,PX83516469,S9119507571,TKT-914231,dev-778cf60f,3770,16,group-0,1,minor queue,OPS-C,Route-069
R00046,RT032,Tsuen Wan,Kennedy Town,Central and Western,bus-crossharbour_local_standard_KMB,,,,7,Mon,0,Heavy Rain,territory-hk,B4110,SYS,maintenance_ops,compact,none,zone-5,PX89624676,S4182348176,TKT-731065,dev-ce797736,6930,13,group-0,1,sandbox move,OPS-SYS,ROUTE 032
R00047,RT003,Tsim Sha Tsui,North Point,Yau Tsim Mong,tram-night-local-standard-CityBus,fare=2.0,0.1,T3,23,Sat,0,,HK,B6845,S1,none,large_text,none,zone-5,PX46683761,S8299873758,TKT-412778,dev-e0582936,350000,9000,group-0,0,weather watch,OPS-C,Route-003
R00048,RT059,KENNEDY TOWN,sha tin,Central and Western,tram_Express_STANDARD_ctb,~900.0,600.0-601.2,about 300,9,Tue,0,,HK,B5400,S1,none,contrast,none,zone-1,PX92908143,S2076736816,TKT-134081,dev-723eb1d2,75,9000,group-0,1,priority boarding,OPS-C,Route-059
R00049,RT047,Central Station,Kennedy Town,Sha Tin,bus-airport_local_standard_KMB,,,about 22,12,Thu,1,Sunny,territory-hk,B1953,SYS,maintenance_ops,contrast,A,zone-2,PX79860527,S7955227487,TKT-647457,dev-444a075b,4190,11,group-0,0,maintenance escort,OPS-SYS,ROUTE 047
R00050,RT056,Tsuen Wan,Sha Tin,Sha Tin,Tram_EXPRESS_standard_CTB,0.0,0.5 km,about 3,5,Fri,0,,HK,B9465,S3,none,compact,C,zone-3,PX29290840,S4526607269,TKT-251447,dev-307ee8d2,120000,2500,group-0,0,minor queue,OPS-A,Route-056
R00051,RT025,Sha Tin,Central Station,Central and Western,BUS-night_local_Standard_K.M.B.,,,,6,Wed,0,wx.cld.ops,852,B9985,S3,summer_push,contrast,none,zone-5,PX65685597,S3785236975,TKT-788969,dev-c3032d5d,1120,7,group-0,0,minor queue,OPS-D,Route-025
R00052,RT048,WAN CHAI,Shatin,Wan Chai,Bus-night_standard_local_KMB,,,20.0,22,Sun,1,,HK,B8182,S4,none,compact,B,zone-1,PX32064707,S5742301686,TKT-330393,dev-5470a1d3,4410,9,group-0,0,weather watch,OPS-A,Route-048
R00053,RT030,Admiralty,Tsuen Wan,Yau Tsim Mong,K.M.B._bus-XHBR_standard_express,,,,18,Fri,0,,HK,B1693,S1,none,large_text,none,zone-4,PX27621481,S8045170718,TKT-821695,dev-19024f15,4170,11,group-0,1,priority boarding,OPS-D,ROUTE 030
R00054,RT039,TsimShaTsui,Central Station,Yau Tsim Mong,ferry-airport_local_Standard_Hong Kong Ferry,,,,22,Tue,0,,geo::hkg,B8175,S1,none,contrast,none,zone-2,PX16214765,S5351480668,TKT-403844,dev-b8b468da,6390,29,group-0,0,minor queue,OPS-B,ROUTE 039
R00055,RT060, Tsim Sha Tsui ,Tsuen Wan,Yau Tsim Mong,Ferry_Ferry_local_premium_hkkf,,,,21,Mon,0,,HK,B9826,S2,none,compact,B,zone-3,PX74604063,S4830277324,TKT-367848,dev-57c06fa9,12990,26,group-0,0,minor queue,OPS-B,ROUTE 060
R00056,RT056,Kennedy Town,Admiralty,Central and Western,tram_local_standard_CTB,,4.91,,17,Sat,1,heavy-rn,territory-hk,B1071,SYS,staff_shuttle,compact,A,zone-3,PX34822390,S8148034310,TKT-510167,dev-b81ae591,4910,17,group-0,1,depot transfer,OPS-SYS,ROUTE 056
R00057,RT042,Mong%20Kok,Tsuen Wan,Yau Tsim Mong,bus_local_Standard_ctb,HK$6.8,,14.0,17,Wed,0,,HK,B1321,S3,none,contrast,B,zone-3,PX85682498,S8022073241,TKT-231198,dev-1b3ebd1d,1490,7,group-0,1,platform crowding,OPS-A,Route-042
R00058,RT073,Central Station,Kennedy Town,Central and Western,Bus_LOCAL_STANDARD_Kowloon Motor Bus,12.1,"6,34",30m est,11,Tue,0,Sunny,852,B4708,S3,tourist_day,large_text,A,zone-2,PX44288260,S6356730607,TKT-360964,dev-5b0d323a,6340,12,group-0,0,minor queue,OPS-D,ROUTE 073
R00059,RT075,Tswan,MongKok,Tsuen Wan,ferry-Airport_LOCAL_standard_HKKF,,,,18,Tue,0,,territory-hk,B3805,S2,tourist_day,classic,none,zone-5,PX37909702,S5776635024,TKT-225642,dev-8c5401c7,880,25,group-0,1,priority boarding,OPS-C,ROUTE 075
R00060,RT009,Shatin,CENStation,Sha Tin,Bus_premium_local_K.M.B.,,1070m,,22,Fri,0,rain??,HK,B1923,S4,none,contrast,none,zone-5,PX60195355,S2488886832,TKT-877997,dev-d90c1f6e,1070,13,group-0,0,minor queue,OPS-A,Route-009
R00061,RT042,NorthPt,Wan Chai,Eastern,bus_local_STANDARD_kmb,2.0 HKD,about 0.05,3-11 min,9,Fri,0,,HK,B4630,S2,summer_push,contrast,none,zone-4,PX72238693,S5776661800,TKT-167787,dev-def01c77,120000,1,group-0,1,minor queue,OPS-A,Route-042
R00062,RT013,Tsuen%20Wan,Central%20Station,Tsuen Wan,bus-night / local / standard / K.M.B.,,,,23,Mon,0,,HK,B4097,S4,none,compact,none,zone-5,PX38744834,S1837863306,TKT-276964,dev-d40f3fe2,2900,9,group-0,0,priority boarding,OPS-B,ROUTE 013
R00063,RT066,Wan Chai,Admiralty,Eastern,bus_local_standard_KMB,1200.0,180.0,420.0,14,Tue,1,Rain,HK,B9133,SYS,internal_audit,compact,A,zone-2,PX67751163,S9098367705,TKT-650777,dev-217c4741,25,0,group-0,0,staff shuttle,OPS-SYS,ROUTE 066
R00064,RT049,North Pt,Kennedy Town,Eastern,TRAM_Express_Standard_ctb,,,,20,Fri,0,,HK,B1096,S1,tourist_day,classic,A,zone-3,PX66453012,S4396486337,TKT-840284,dev-8a9e3986,8880,15,group-0,0,priority boarding,OPS-C,Route-049
R00065,RT059,North Point,Tsuen Wan,Tsuen Wan,bus-crossharbour_local_standard_KMB,12.0,,,11,Sat,0,Rain,geo::852,B3048,S4,none,contrast,C,zone-4,PX52896801,S5339222611,TKT-821534,dev-942be248,3870,12,group-0,0,normal service,OPS-A,Route-059
R00066,RT053,Tsuen Wan,North Point,Central and Western,ferry_express_premium_HKKF,17.6,,about 42,17,Sat,1,heavy-rn,hkg,B2994,SYS,internal_audit,contrast,none,zone-3,PX94331667,S4507380865,TKT-613892,dev-9bba7f66,6110,18,group-0,1,staff shuttle,OPS-SYS,Route-053
R00067,RT053,North Pt,Tsuen Wan,Tsuen Wan,bus_bus__express-standard__K.M.B.,,,,15,Tue,0,,NA,B1986,S4,tourist_day,large_text,none,zone-2,PX84067488,S7545293125,TKT-269010,dev-0ee00a28,10150,20,group-0,0,priority boarding,OPS-D,ROUTE 053
R00068,RT060, Admiralty ,Mong Kok,Central and Western,Bus-night_Express_premium_Kowloon Motor Bus;backup=KMB,,,,11,Sat,0,Sunny,HK,B9650,S1,summer_push,compact,none,zone-5,PX45815687,S5002172830,TKT-471212,dev-520fb746,18750,38,group-0,0,normal service,OPS-B,Route-060
R00069,RT030,Wan Chai,Admiralty,Central and Western,bus-airport_local_standard_KMB,,,19-27 min,5,Mon,0,heavy-rn,territory-hk,B6729,SYS,maintenance_ops,large_text,A,zone-5,PX76836266,S8430559215,TKT-219669,dev-edb5cd30,3360,7,group-0,0,staff shuttle,OPS-SYS,ROUTE 030
R00070,RT019,Tsim Sha Tsui,Sha Tin,Yau Tsim Mong,Bus_LOCAL_standard_K.M.B.,8.1,4.18 / route,,21,Sun,0,,HK,B5289,S3,none,compact,none,zone-2,PX41533292,S6214275999,TKT-411480,dev-82052716,4180,8,group-0,0,minor queue,OPS-C,Route-019
R00071,RT056,Tsuen%20Wan,Causeway Bay,Tsuen Wan,meta[route=458;value=bus_express_standard_CityBus;flag=X],"15,5",6.39,31.0,18,Fri,0,Sunny,HK,B6415,S3,none,compact,none,zone-1,PX82502986,S1660141059,TKT-259381,dev-aa590f48,6390,16,group-0,1,platform crowding,OPS-B,Route-056
R00072,RT014,Kennedy Town,Wan Chai,Central and Western,bus-airport_local_standard_KMB,12.1,5.94 / route,41.0,14,Sat,1,Rain,territory-hk,B7897,SYS,staff_shuttle,classic,B,zone-1,PX86361307,S3533124540,TKT-315465,dev-7f8b26c1,5940,12,group-0,0,depot transfer,OPS-SYS,Route-014
R00073,RT071,Central Station,North Point,Yau Tsim Mong,tram_local_standard_CTB,,,,15,Mon,1,sunny,geo::852,B3964,SYS,internal_audit,classic,none,zone-5,PX36494222,S9146628962,TKT-232868,dev-66286da4,5340,8,group-0,0,staff shuttle,OPS-SYS,Route-071
R00074,RT011,Admiralty,Tsuen Wan,Eastern,bus-crossharbour_local_standard_KMB,7.0-12.0,4.01,24.0,17,Fri,1,Sunny,HK,B1123,SYS,staff_shuttle,compact,B,zone-1,PX43414714,S1600115332,TKT-372033,dev-d18b0dbc,4010,7,group-0,1,internal audit,OPS-SYS,Route-011
R00075,RT019,Tsuen Wan,Admiralty,Wan Chai,bus-airport_local_standard_KMB,HK$6.3,unknown,about 11,5,sat,0,wx.hr.critical,geo-hkg-v2,B5505,S3,tourist_day,contrast,none,zone-2,PX66517627,S9631142311,TKT-678933,dev-f75f8019,1600,6,group-0,0,platform crowding,OPS-B,ROUTE 019
R00076,RT056,Central Station,Kennedy Town,Central and Western,Tram_Tram_EXPRESS_premium_CTB,0.5,0.05-1.2,00:02:00,8,Mon,0,cloudy,852,B7895,S4,summer_push,large_text,none,zone-3,PX50853656,S8598370783,TKT-277744,dev-a77c5fd9,75,0,group-0,1,platform crowding,OPS-D,Route-056
R00077,RT060,Admiralty,MONG KOK,Central and Western,bus_standard_local_CityBus,"1,0",0.2,4 min,23,Sun,0,,HK,B2701,S1,commuter_plus,contrast,C,zone-4,PX12236121,S8154613641,TKT-330812,dev-dc243abf,120000,999,group-0,0,minor queue,OPS-B,Route-060
R00078,RT072,CausewayBay,Kennedy Tn,Wan Chai,buslocalstandardKowloon Motor Bus,0.5,0.1-1.3,1.0,5,Fri,0,,HK,B5573,S4,none,large_text,A,zone-2,PX35306405,S8508306876,TKT-777829,dev-9e46dd12,25,1,group-0,0,normal service,OPS-A,Route-072
R00079,RT018,Admiralty,North Point,Sha Tin,tram_local_standard_CTB,,,,7,Tue,0,heavy-rn,territory-hk,B6994,SYS,staff_shuttle,compact,A,zone-5,PX31384017,S6920140095,TKT-298157,dev-80e167e2,6360,13,group-0,1,internal audit,OPS-SYS,ROUTE 018
R00080,RT019,Sha%20Tin, Tsuen Wan ,Sha Tin,Tram-Airport_express_standard_CTB,,,,23,Thu,0,,HK,B6526,S1,summer_push,classic,none,zone-5,PX74761921,S1895899321,TKT-759568,dev-7282cf4b,12940,41,group-0,0,platform crowding,OPS-B,Route-019
R00081,RT065,Workshop,Workshop,Operations,admin_move,,,,19,Sun,0,System,TST,B2781,SYS,internal_audit,large_text,B,zone-4,PX67498378,S5768612592,TKT-992500,dev-81ba222f,2130,9,group-0,1,ops rehearsal,OPS-SYS,Route-065
R00082,RT068,Tsim%20Sha%20Tsui,Causeway Bay,Wan Chai,bus__local-standard__CityBus,0.5,0.5-1.7,0.1 hrs,16,Sat,0,,HK,B2178,S4,commuter_plus,large_text,none,zone-4,PX19367068,S6019470252,TKT-535784,dev-b45d5510,350000,999,group-0,0,platform crowding,OPS-B,Route-068
R00083,RT035,Tsim Sha Tsui,North Point,Eastern,type=ferry|mode=local|service=standard|operator=HKKF,,2.03,17.0,22,Sun,0,wx.hr.critical,geo::852,B2314,S1,none,classic,none,zone-2,PX71487082,S2770078497,TKT-847455,dev-a83c28bf,2030,8,group-0,0,priority boarding,OPS-B,Route-035
R00084,RT079,Kennedy Town,WAN CHAI,Central and Western,ferrylocalstandardHK Ferry,~16.9,10570m,,18,Sat,0,Sunny,HK,B5851,S4,none,contrast,B,zone-2,PX71529215,S9282078483,TKT-387951,dev-9d404434,10570,17,group-0,1,minor queue,OPS-C,ROUTE 079
R00085,RT053,Sha%20Tin,W Chai,Sha Tin,bus_Express_Standard_K.M.B.,,,,6,Wed,0,,HK,B9421,S4,none,compact,B,zone-3,PX43059879,S7905788376,TKT-802654,dev-770ec6e8,9870,18,group-0,0,minor queue,OPS-B,Route-053
R00086,RT006,TsuenWan,admiralty,Tsuen Wan,BUS_BUS_standard_local_K.M.B.,,,,5,Tue,0,,HK,B7482,S1,none,large_text,B,zone-2,PX95195197,S7178527366,TKT-605959,dev-6f0bf176,13310,20,group-0,0,priority boarding,OPS-C,ROUTE 006
R00087,RT017,North Point,Tsim Sha Tsui,Wan Chai,tramexpressstandardCityBus,,,about 45,21,Tue,0,Heavy Rain,hk-zone,B7308,S4,none,large_text,A,zone-5,PX26967746,S5445850010,TKT-856465,dev-1fcf5d4e,7410,16,group-0,0,platform crowding,OPS-B,ROUTE 017
R00088,RT034,Admiraltyy,WAN CHAI,Central and Western,TRAM-cross-harbour_Local_standard_CityBus,"0,8",7.0km approx,3-11 min,13,Sun,0,Rain,NA,B6354,S1,summer_push,contrast,A,zone-2,PX70008391,S9913457657,TKT-965751,dev-47b452f1,800,4,group-0,0,priority boarding,OPS-B,Route-034
R00089,RT049,Tsuen Wan,North Point,Eastern,bus-crossharbour_local_standard_KMB,"17,4",,about 44,11,Sun,0,wx.hr.critical,geo::852,B5602,S3,summer_push,contrast,B,zone-2,PX27060230,S2754507440,TKT-876304,dev-d813654d,6940,17,group-0,0,priority boarding,OPS-B,ROUTE 049
R00090,RT029,Tsim Sha Tsui,Admiralty,Eastern,FERRY-night_local_STANDARD_HK Ferry,missing,n/a-dist,about 900,10,Tue,0,heavy-rn,geo::852,B4227,S4,none,classic,none,zone-3,PX68795034,S5950432579,TKT-505846,dev-e06e2a67,350000,2500,group-0,0,weather watch,OPS-C,ROUTE 029
